"ID","HH_ID","hh_position","ID_partner","HH_ID_target","ID_partner_target","hh_position_target","event_type","ID_mother","ID_father","sex","birth_date","mother","father","age_group_hh","age_group_pop","event_date","age","main_parent"
11000743,4732362,"single",NA,NA,NA,NA,"immigration",NA,NA,"F",1992-03-22,NA,NA,3,3,"2011-01-08",NA,NA
746899,691075,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-08",NA,NA
3257093,1886286,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-08",NA,NA
4125655,1583745,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-08",NA,NA
6100294,2704685,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-08",NA,NA
678104,631515,"single",7841270,4731694,7841270,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-09",21,NA
7654442,1858503,"other",NA,4732059,NA,"collective","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-09",27,NA
7841270,1304255,"child",NA,4731694,678104,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-09",21,NA
2899002,2216140,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-09",NA,NA
11000539,4732161,"child",NA,NA,NA,NA,"immigration",11000542,11000614,"F",1996-04-25,NA,NA,2,2,"2011-01-09",NA,NA
11000542,4732161,"union_w_child",11000614,NA,NA,NA,"immigration",NA,NA,"F",1979-07-31,NA,NA,3,3,"2011-01-09",NA,NA
11000614,4732161,"union_w_child",11000542,NA,NA,NA,"immigration",NA,NA,"M",1977-05-21,NA,NA,3,3,"2011-01-09",NA,NA
11000684,4732161,"child",NA,NA,NA,NA,"immigration",11000542,11000614,"M",2008-11-25,NA,NA,1,1,"2011-01-09",NA,NA
1351342,1182393,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-09",52,NA
2843690,2184053,"child",NA,4731923,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-10",22,NA
5010253,3233681,"single",NA,4731875,NA,"other","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-10",85,NA
8344575,391291,"child",NA,4732005,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-10",26,NA
11000590,4732209,"single",NA,NA,NA,NA,"immigration",NA,NA,"M",1992-01-09,NA,NA,3,3,"2011-01-10",NA,NA
7829276,2204110,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-10",NA,NA
8823442,2897882,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-10",NA,NA
127159,125189,"union",664814,4731583,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-11",25,NA
664814,125189,"union",127159,125189,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-11",24,NA
3120864,2198642,NA,2868777,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-11",75,NA
2868777,2198642,"union",NA,2198642,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-11",72,NA
2430210,716989,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-11",NA,NA
832590,501150,"child",NA,4731884,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-13",25,NA
6006436,3597393,"single",NA,4732067,NA,"collective","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-13",84,NA
6262771,3681414,"child",NA,4731746,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-13",NA,NA
9230769,3681414,"single_parent",NA,4731746,10100529,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-13",37,NA
10100529,4591146,"single",9230769,4731746,9230769,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-13",35,NA
11000224,587752,NA,NA,NA,NA,NA,"birth",804523,628062,"M",2011-01-13,NA,NA,1,1,"2011-01-13",NA,804523
7376618,4007258,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-13",56,NA
3181185,1651717,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-13",NA,NA
6963146,3368447,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-13",NA,NA
9448208,617834,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-13",NA,NA
6106949,3630949,"single",NA,4731850,6579347,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-14",53,NA
6579347,3779983,"single_parent",6106949,4731850,6106949,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-14",57,NA
9710415,3779983,"child",NA,4731850,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-14",NA,NA
2346919,1880990,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-14",NA,NA
10728691,2503942,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-14",NA,NA
1737938,1469015,"child",NA,4731862,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-15",NA,NA
3832529,1585608,"collective",NA,4731939,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-15",21,NA
4261981,2916085,"other",NA,4731862,6705759,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-15",56,NA
4834228,1469015,"child",NA,4731862,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-15",NA,NA
6705759,1469015,"single_parent",4261981,4731862,4261981,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-15",59,NA
7156222,3947430,"child",NA,4731865,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-15",NA,NA
7643913,4076711,"single",NA,4731865,8941651,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-15",33,NA
8590361,3947430,"child",NA,4731865,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-15",NA,NA
8941651,3947430,"single_parent",7643913,4731865,7643913,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-15",40,NA
9401424,3947430,"child",NA,4731865,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-15",NA,NA
10704332,1585608,"child",NA,4731939,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-15",NA,NA
4940585,3205908,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-15",NA,NA
5553604,3440239,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,4,4,"2011-01-15",NA,NA
10454538,1820950,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,4,4,"2011-01-15",NA,NA
3738648,1978348,"child",NA,4731938,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-16",22,NA
11000754,964754,"non_family",NA,NA,NA,NA,"immigration",NA,NA,"F",1970-06-04,NA,NA,3,3,"2011-01-16",NA,NA
5527671,1581863,NA,1898516,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-16",88,NA
8213151,4214691,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-16",81,NA
1898516,1581863,"union",NA,1581863,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-16",90,NA
5334987,1044073,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-16",NA,NA
8847163,1031102,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-16",NA,NA
8515765,4283113,"child",NA,4732011,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-17",21,NA
11000399,3855442,NA,NA,NA,NA,NA,"birth",8469332,6833281,"M",2011-01-17,NA,NA,1,1,"2011-01-17",NA,8469332
11000419,880910,NA,NA,NA,NA,NA,"birth",8938426,6116533,"F",2011-01-17,NA,NA,1,1,"2011-01-17",NA,8938426
11000454,4732082,NA,NA,NA,NA,NA,"birth",10482096,4912705,"M",2011-01-17,NA,NA,1,1,"2011-01-17",NA,10482096
4912705,3194792,"single",10482096,4732082,10482096,"union_w_child","hh_transition",NA,NA,"M",NA,NA,NA,3,3,"2011-01-17",33,NA
10482096,4653880,"single_parent",NA,4732082,4912705,"union_w_child","hh_transition",NA,NA,"F",NA,NA,NA,3,3,"2011-01-17",29,NA
11000488,4732183,"child",NA,NA,NA,NA,"immigration",11000564,11000534,"F",2007-01-07,NA,NA,1,1,"2011-01-17",NA,NA
11000534,4732183,"union_w_child",11000564,NA,NA,NA,"immigration",NA,NA,"M",1968-09-05,NA,NA,3,3,"2011-01-17",NA,NA
11000564,4732183,"union_w_child",11000534,NA,NA,NA,"immigration",NA,NA,"F",1969-01-06,NA,NA,3,3,"2011-01-17",NA,NA
3223948,1199269,NA,1373276,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-17",61,NA
1373276,1199269,"union",NA,1199269,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-17",62,NA
797477,734432,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-17",NA,NA
1099116,984192,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-17",NA,NA
1696492,1439230,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-17",NA,NA
4624683,3075111,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-17",NA,NA
5099100,2593071,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-17",NA,NA
7064039,44518,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-17",NA,NA
8416569,2126358,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-17",NA,NA
9499830,674112,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-17",NA,NA
10553110,97903,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-17",NA,NA
8740819,2423970,"non_family",NA,4732015,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-18",23,NA
4330125,2946796,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-18",89,NA
8683571,4053567,NA,7552974,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-18",88,NA
9048291,1456769,NA,1720792,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-18",80,NA
1720792,1456769,"union",NA,1456769,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-18",68,NA
7552974,4053567,"union",NA,4053567,NA,"single","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-18",88,NA
1634675,1394390,"single",5375334,4731867,5375334,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-19",83,NA
5375334,3374556,"single",NA,4731867,1634675,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-19",80,NA
6868659,3865820,"single",NA,4732067,NA,"collective","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-19",60,NA
10598306,1192279,"child",NA,4732047,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-19",17,NA
11000470,4732089,"union_w_child",11000522,NA,NA,NA,"immigration",NA,NA,"F",1985-10-25,NA,NA,3,3,"2011-01-19",NA,NA
11000522,4732089,"union_w_child",11000470,NA,NA,NA,"immigration",NA,NA,"M",1972-08-07,NA,NA,3,3,"2011-01-19",NA,NA
11000581,4732089,"child",NA,NA,NA,NA,"immigration",11000470,11000522,"F",1995-04-24,NA,NA,2,2,"2011-01-19",NA,NA
1462828,1267098,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-19",NA,NA
3386956,2395330,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-19",NA,NA
3430371,4731634,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-19",NA,NA
8486480,4027763,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-19",NA,NA
4226531,2899803,"single",NA,4732061,NA,"collective","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-20",91,NA
11000235,1279226,NA,NA,NA,NA,NA,"birth",1478906,5139292,"M",2011-01-20,NA,NA,1,1,"2011-01-20",NA,1478906
11000406,3285896,NA,NA,NA,NA,NA,"birth",8663908,5143052,"M",2011-01-20,NA,NA,1,1,"2011-01-20",NA,8663908
6888721,3871681,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-20",NA,NA
9663175,660363,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-20",NA,NA
9865791,3073909,NA,4621819,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-20",67,NA
4621819,3073909,"union",NA,3073909,NA,"non_family","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-20",63,NA
1964618,1627539,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-20",NA,NA
7218405,1446794,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-20",NA,NA
555273,523304,"child",4252674,4731745,4252674,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-21",44,NA
4252674,2911811,"child",NA,4731745,555273,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-21",36,NA
10106532,4592173,"single",10288645,4731684,10288645,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-21",31,NA
10288645,3962015,"child",NA,4731684,10106532,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-21",28,NA
5683203,3486716,NA,NA,NA,NA,NA,"emigration",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-21",NA,NA
11000576,4732195,"single",NA,NA,NA,NA,"immigration",NA,NA,"F",1985-10-02,NA,NA,3,3,"2011-01-21",NA,NA
2358073,1888100,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-21",82,NA
8639774,4310013,NA,NA,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-21",89,NA
9152666,1245526,NA,1434233,NA,NA,NA,"death",NA,NA,NA,NA,0,0,NA,NA,"2011-01-21",84,NA
1434233,1245526,"union",NA,1245526,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-21",80,NA
864774,791517,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-21",NA,NA
3205719,1497596,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-21",NA,NA
5426945,3393852,"single",10649007,4731796,10649007,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-22",29,NA
5640781,2994151,"child",NA,4731782,10506238,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-22",24,NA
6242303,2868038,"child",NA,4731975,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-22",23,NA
10506238,4657696,"single",5640781,4731782,5640781,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-22",29,NA
10649007,2843396,"child",NA,4731796,5426945,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-22",24,NA
2510458,1983939,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-22",NA,NA
9599330,2119016,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,1,1,"2011-01-22",NA,NA
5673659,2003367,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-23",NA,NA
7087418,1161676,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-23",NA,NA
8094481,2352487,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,3,3,"2011-01-23",NA,NA
1629688,1390746,"child",NA,4731681,NA,"child","hh_transition",NA,NA,NA,NA,NA,NA,NA,NA,"2011-01-24",NA,NA
5877759,1390746,"single_parent",NA,4731681,7019606,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-24",29,NA
7019606,2969655,"child",5877759,4731681,5877759,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-24",28,NA
11000319,1964304,NA,NA,NA,NA,NA,"birth",5249917,2478886,"F",2011-01-24,NA,NA,1,1,"2011-01-24",NA,5249917
11000385,1783181,NA,NA,NA,NA,NA,"birth",7927106,9502944,"M",2011-01-24,NA,NA,1,1,"2011-01-24",NA,7927106
1805090,1516542,NA,NA,NA,NA,NA,"age_group_transition",NA,NA,NA,NA,NA,NA,2,2,"2011-01-24",NA,NA
411854,393518,"child",8487385,4731729,8487385,"union","hh_transition",NA,NA,"M",NA,NA,NA,NA,NA,"2011-01-25",25,NA
469981,446608,"child",NA,4731880,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-25",26,NA
6163371,2190140,"child",NA,4731971,NA,"single","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-25",26,NA
8487385,3190786,"child",NA,4731729,411854,"union","hh_transition",NA,NA,"F",NA,NA,NA,NA,NA,"2011-01-25",23,NA
11000360,1849763,NA,NA,NA,NA,NA,"birth",6973650,3439072,"M",2011-01-25,NA,NA,1,1,"2011-01-25",NA,6973650
11000390,2529536,NA,NA,NA,NA,NA,"birth",8015525,3469541,"F",2011-01-25,NA,NA,1,1,"2011-01-25",NA,8015525
11000403,1304163,NA,NA,NA,NA,NA,"birth",8570461,3781035,"F",2011-01-25,NA,NA,1,1,"2011-01-25",NA,8570461
11000529,4732148,"union_w_child",11000717,NA,NA,NA,"immigration",NA,NA,"F",1957-12-07,NA,NA,3,3,"2011-01-25",NA,NA
